n_estimators,max_depth,min_samples_split,min_samples_leaf,learning_rate,subsample,max_features,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,root_mean_squared_error,mean_squared_log_error,mean_r_squared,time_taken
100,7,10,2,0.1,1.0,log2,10.113801006714983,16.302955971200618,170.53254030332494,13.048397190785902,0.04232188530451915,0.691755988881086,1.1670782566070557
50,7,10,4,0.1,1.0,log2,10.053083491476878,16.310940473721352,170.54366824236803,13.045880763275687,0.04208950001616008,0.6916607388919103,0.5758748054504395
100,7,10,2,0.1,0.8,sqrt,10.004533970126875,16.06799514479643,170.65221481303269,13.054843153628473,0.041816264654857965,0.6914028227144804,1.0775418281555176
150,3,5,4,0.2,1.0,sqrt,10.039852281558357,16.24813918549291,170.66507767037777,13.054512290767544,0.04364898112035312,0.6913680328281829,0.831707239151001
100,7,10,4,0.1,1.0,log2,10.086140712613137,16.109828652101886,170.6935597368248,13.054039021389396,0.041227767046903965,0.6914163260546111,0.9500696659088135
200,5,5,2,0.1,0.8,sqrt,10.097325660734162,16.26376258564567,170.6954536528525,13.050982631649935,0.04204455790771829,0.6914378143794774,1.1333534717559814
150,5,2,1,0.1,0.8,sqrt,10.030088487311989,16.28628598893868,170.75487663622556,13.061103848589642,0.04281431691202957,0.6913224257726476,1.3336524963378906
100,5,2,1,0.1,1.0,log2,10.010150884414479,16.274066771680978,170.7837165296234,13.056430087525797,0.04277252609676451,0.6912630150110826,0.7983725070953369
100,5,10,1,0.1,1.0,log2,9.986611448232338,16.26702377735355,170.80464324013812,13.063313714813976,0.04274986135935158,0.6911385819042979,0.8485050201416016
50,7,10,1,0.1,0.8,sqrt,10.109641441410815,16.397181253629764,170.84026545280344,13.065961666087139,0.04209277300779733,0.6910985364162552,0.39962315559387207
50,7,5,4,0.1,0.8,log2,10.009470777559185,16.23788034908477,170.8449363843858,13.0610369489461,0.04208000888739045,0.6911263309571971,0.5172545909881592
200,3,5,4,0.1,1.0,log2,10.060302304549092,16.32830895132524,170.84718636019392,13.06371878774056,0.042946077488496194,0.69111195646214,1.8188307285308838
150,5,2,2,0.1,0.8,sqrt,10.110147363687286,16.29789058672153,170.8841497051881,13.064503684689148,0.04284892436322933,0.6907627728227107,0.9656212329864502
