time,temperature_2m_max (°C),rain_sum (mm),precipitation_hours (h),dia_de_la_semana,semana_del_mes,semana_del_anio,anio,mes,es_fin_de_semana,es_festivo_mexico,dia_partido,es_dia_laborable,weathercode_3,weathercode_53
12/5/2017,25.8,1.9,5,1,50,50,2017,12,0,0,0,1,0,1
7/6/2019,33.2,0,0,5,27,27,2019,7,1,0,0,0,0,0
12/28/2019,27.8,0,0,5,52,52,2019,12,1,0,0,0,0,0
9/11/2022,29.3,0,0,6,38,38,2022,9,1,0,1,0,0,0
5/31/2019,32.4,1,6,4,22,22,2019,5,0,0,0,1,0,0
2/2/2020,21.2,0,0,6,6,6,2020,2,1,0,1,0,0,0
8/21/2022,35.1,0,0,6,35,35,2022,8,1,0,1,0,0,0
3/11/2020,27.7,0.1,1,2,11,11,2020,3,0,0,0,1,0,0
2/1/2018,27.2,0,0,3,5,5,2018,2,0,0,0,1,1,0
12/15/2021,26.2,0,0,2,51,51,2021,12,0,0,0,1,1,0
2/21/2022,28.8,0,0,0,9,9,2022,2,0,0,0,1,0,0
4/11/2021,30.2,0.5,3,6,16,16,2021,4,1,0,1,0,0,0
11/16/2020,22.5,0,0,0,47,47,2020,11,0,1,0,0,0,0
7/6/2022,35.6,0,0,2,28,28,2022,7,0,0,0,1,0,0
4/18/2019,31.2,0,0,3,16,16,2019,4,0,0,0,1,0,0
11/15/2018,15.7,0,0,3,46,46,2018,11,0,0,0,1,0,0
5/20/2019,32.6,0.1,1,0,21,21,2019,5,0,0,0,1,0,0
5/16/2018,30.2,0,0,2,20,20,2018,5,0,0,0,1,1,0
1/28/2017,10.7,8.3,12,5,5,5,2017,1,1,0,0,0,0,0
10/17/2020,27,0,0,5,42,42,2020,10,1,0,0,0,0,0
5/1/2020,31,0,0,4,18,18,2020,5,0,1,0,0,0,0
1/1/2021,13,0,0,4,1,1,2021,1,0,1,0,0,0,0
10/20/2019,29,0.2,1,6,43,43,2019,10,1,0,0,0,0,0
3/20/2022,25.9,0,0,6,13,13,2022,3,1,0,1,0,0,0
11/20/2018,13.7,2.7,16,1,47,47,2018,11,0,0,0,1,0,0
4/29/2018,22.2,0.6,4,6,18,18,2018,4,1,0,1,0,0,0
5/26/2020,25.4,14.2,11,1,22,22,2020,5,0,0,0,1,0,0
10/26/2021,30.8,0,0,1,44,44,2021,10,0,0,0,1,1,0
2/23/2018,24.7,0.4,3,4,8,8,2018,2,0,0,0,1,0,0
7/31/2022,33.5,0.1,1,6,32,32,2022,7,1,0,1,0,0,0
3/4/2019,15,3.4,9,0,10,10,2019,3,0,0,0,1,0,1
10/25/2019,20.4,3,6,4,43,43,2019,10,0,0,0,1,0,0
11/26/2017,24,0,0,6,49,49,2017,11,1,0,1,0,0,0
7/26/2020,25.9,122.6,23,6,31,31,2020,7,1,0,0,0,0,0
2/22/2018,18.9,7.3,6,3,8,8,2018,2,0,0,0,1,0,0
3/7/2021,16.5,0,0,6,11,11,2021,3,1,0,1,0,1,0
9/17/2022,30.3,0.2,2,5,38,38,2022,9,1,0,0,0,0,0
4/30/2017,28.4,0,0,6,19,19,2017,4,1,0,1,0,0,0
12/11/2021,22.7,0,0,5,50,50,2021,12,1,0,0,0,0,0
7/30/2021,31.5,0,0,4,31,31,2021,7,0,0,0,1,0,0
4/24/2021,30.3,2.1,3,5,17,17,2021,4,1,0,0,0,0,1
12/20/2020,22.4,0,0,6,52,52,2020,12,1,0,0,0,0,0
10/24/2021,30.9,0,0,6,44,44,2021,10,1,0,1,0,0,0
5/6/2018,25.7,0,0,6,19,19,2018,5,1,0,1,0,1,0
2/17/2021,17.4,0.2,1,2,8,8,2021,2,0,0,0,1,0,0
10/12/2019,19.7,0,0,5,41,41,2019,10,1,0,0,0,1,0
7/21/2018,34.6,0,0,5,29,29,2018,7,1,0,0,0,0,0
2/13/2021,7.1,3,5,5,7,7,2021,2,1,0,0,0,0,0
1/20/2019,15.6,0,0,6,4,4,2019,1,1,0,1,0,0,0
5/18/2019,32.8,0,0,5,20,20,2019,5,1,0,0,0,0,0
4/16/2019,29.3,0,0,1,16,16,2019,4,0,0,0,1,0,0
11/21/2021,26.4,0.1,1,6,48,48,2021,11,1,0,0,0,0,0
5/19/2017,33.6,0.5,1,4,21,21,2017,5,0,0,1,1,0,1
1/2/2021,16.7,0,0,5,1,1,2021,1,1,0,0,0,0,0
9/7/2021,33.9,0,0,1,37,37,2021,9,0,0,0,1,0,0
2/15/2022,21.7,0,0,1,8,8,2022,2,0,0,0,1,0,0
7/24/2022,35.5,0,0,6,31,31,2022,7,1,0,1,0,0,0
1/24/2019,17.8,0,0,3,4,4,2019,1,0,0,0,1,0,0
10/17/2017,22.6,0,0,1,43,43,2017,10,0,0,0,1,0,0
12/18/2020,21.1,0,0,4,51,51,2020,12,0,0,0,1,0,0
2/1/2019,19.7,0,0,4,5,5,2019,2,0,0,0,1,0,0
4/9/2022,28.5,0.2,2,5,15,15,2022,4,1,0,0,0,0,0
10/8/2019,28.5,0,0,1,41,41,2019,10,0,0,0,1,0,0
4/12/2020,32.5,0,0,6,16,16,2020,4,1,0,1,0,0,0
9/16/2020,27.8,0.9,3,2,38,38,2020,9,0,1,0,0,0,1
9/11/2020,24.7,0.1,1,4,37,37,2020,9,0,0,0,1,0,0
11/9/2020,28.1,0.1,1,0,46,46,2020,11,0,0,0,1,0,0
3/23/2019,24.9,0.1,1,5,12,12,2019,3,1,0,0,0,0,0
5/30/2021,31.4,0.3,3,6,23,23,2021,5,1,0,0,0,0,0
2/2/2019,20.1,0,0,5,5,5,2019,2,1,0,0,0,1,0
4/2/2022,27.7,0.7,6,5,14,14,2022,4,1,0,0,0,0,0
5/3/2019,27.1,1,6,4,18,18,2019,5,0,0,0,1,0,0
4/14/2021,30.3,0.3,3,2,16,16,2021,4,0,0,0,1,0,0
3/27/2021,34.5,0,0,5,13,13,2021,3,1,0,0,0,0,0
8/9/2021,34.8,0,0,0,33,33,2021,8,0,0,0,1,0,0
9/20/2017,33,0.1,1,2,39,39,2017,9,0,0,0,1,0,0
2/12/2021,9.7,1.3,4,4,7,7,2021,2,0,0,0,1,0,1
2/5/2020,21.5,0,0,2,6,6,2020,2,0,0,0,1,0,0
10/22/2022,27.5,0,0,5,43,43,2022,10,1,0,0,0,0,0
3/21/2022,34.6,0,0,0,13,13,2022,3,0,1,0,0,0,0
4/13/2020,27.8,0,0,0,16,16,2020,4,0,0,0,1,0,0
7/7/2019,32.5,0,0,6,28,28,2019,7,1,0,0,0,1,0
7/27/2022,33.4,0.9,2,2,31,31,2022,7,0,0,1,1,0,1
10/2/2021,27.2,1.9,12,5,40,40,2021,10,1,0,0,0,0,0
4/27/2020,29.2,0,0,0,18,18,2020,4,0,0,0,1,1,0
2/19/2019,19.8,0,0,1,8,8,2019,2,0,0,0,1,0,0
10/5/2019,30.4,0,0,5,40,40,2019,10,1,0,0,0,0,0
3/6/2022,30,0,0,6,11,11,2022,3,1,0,1,0,0,0
1/29/2017,15.9,0,0,6,6,6,2017,1,1,0,1,0,1,0
1/16/2017,22.8,0,0,0,4,4,2017,1,0,0,0,1,0,0
3/23/2022,20.3,0,0,2,13,13,2022,3,0,0,0,1,0,0
3/24/2021,33.2,0,0,2,13,13,2021,3,0,0,0,1,0,0
11/26/2018,15,0,0,0,48,48,2018,11,0,0,0,1,0,0
12/3/2017,24.5,0,0,6,50,50,2017,12,1,0,1,0,0,0
12/29/2019,24.4,0,0,6,53,53,2019,12,1,0,0,0,1,0
3/11/2022,28.7,0.3,3,4,11,11,2022,3,0,0,0,1,0,0
2/9/2019,11.2,0.1,1,5,6,6,2019,2,1,0,0,0,0,0
6/1/2022,32.5,0.1,1,2,23,23,2022,6,0,0,0,1,0,0
5/21/2018,26.5,2.8,6,0,21,21,2018,5,0,0,0,1,0,0
10/30/2021,27.1,0,0,5,44,44,2021,10,1,0,0,0,0,0
12/13/2017,16.4,0,0,2,51,51,2017,12,0,0,0,1,1,0
6/15/2017,35.2,0,0,3,25,25,2017,6,0,0,0,1,0,0
7/21/2020,31.1,0.5,2,1,30,30,2020,7,0,0,0,1,0,0
9/8/2018,30.5,0.4,2,5,36,36,2018,9,1,0,0,0,0,0
4/28/2020,32.4,0,0,1,18,18,2020,4,0,0,0,1,0,0
4/24/2022,31.8,0.1,1,6,18,18,2022,4,1,0,1,0,0,0
3/19/2022,23.2,0,0,5,12,12,2022,3,1,0,0,0,0,0
11/3/2021,25,0,0,2,45,45,2021,11,0,0,0,1,1,0
11/11/2018,20.9,0,0,6,46,46,2018,11,1,0,1,0,0,0
1/8/2018,20.7,0,0,0,2,2,2018,1,0,0,0,1,0,0
2/8/2019,14.2,0.3,2,4,6,6,2019,2,0,0,0,1,0,0
7/2/2021,30.7,0,0,4,27,27,2021,7,0,0,0,1,0,0
2/2/2017,26.2,0,0,3,6,6,2017,2,0,0,1,1,1,0
